"Longitude","Latitude","Type"
2.170037,41.386968,"City Center"
2.167015,41.385919,"Metro"
2.167646,41.386095,"Metro"
2.169598,41.385842,"Metro"
2.169503,41.385707,"Metro"
2.151636,41.399679,"Metro"
2.152429,41.400039,"Metro"
2.152507,41.399554,"Metro"
2.158326,41.392331,"Metro"
2.157649,41.393362,"Metro"
2.157956,41.392909,"Metro"
2.135427,41.397791,"Metro"
2.135114,41.397895,"Metro"
2.135502,41.397638,"Metro"
2.130075,41.398154,"Metro"
2.130828,41.397781,"Metro"
2.143251,41.398645,"Metro"
2.142754,41.398631,"Metro"
2.142852,41.398976,"Metro"
2.11937,41.399203,"Metro"
2.118699,41.398423,"Metro"
2.118998,41.398967,"Metro"
2.147016,41.401372,"Metro"
2.125789,41.398544,"Metro"
2.124523,41.39935,"Metro"
2.125112,41.39896,"Metro"
2.137173,41.410227,"Metro"
2.139248,41.405731,"Metro"
2.139256,41.406043,"Metro"
2.139529,41.405442,"Metro"
2.142617,41.403596,"Metro"
2.143265,41.403133,"Metro"
2.142961,41.40344,"Metro"
2.147573,41.401403,"Metro"
2.086746,41.353011,"Metro"
2.068427,41.351845,"Metro"
2.148628,41.374547,"Metro"
2.125369,41.357005,"Metro"
2.117531,41.35536,"Metro"
2.13168,41.360962,"Metro"
2.130463,41.361391,"Metro"
2.103422,41.357794,"Metro"
2.139358,41.368228,"Metro"
2.034689,41.357711,"Metro"
2.043259,41.348145,"Metro"
2.11168,41.361271,"Metro"
2.180381,41.391664,"Metro"
2.182218,41.393228,"Metro"
2.180061,41.392387,"Metro"
2.102669,41.357404,"Metro"
2.103029,41.358779,"Metro"
2.102666,41.359299,"Metro"
2.200227,41.450043,"Metro"
2.199663,41.449896,"Metro"
2.110686,41.351236,"Metro"
2.110976,41.351991,"Metro"
2.109898,41.351527,"Metro"
2.110588,41.350397,"Metro"
2.111765,41.350916,"Metro"
2.103659,41.368289,"Metro"
2.103234,41.367647,"Metro"
2.103931,41.368184,"Metro"
2.169597,41.388111,"Metro"
2.169492,41.38757,"Metro"
2.168507,41.387706,"Metro"
2.170687,41.387914,"Metro"
2.168588,41.3872,"Metro"
2.169507,41.387625,"Metro"
2.187344,41.408643,"Metro"
2.187148,41.409242,"Metro"
2.187202,41.410828,"Metro"
2.18753,41.411218,"Metro"
2.148309,41.375344,"Metro"
2.149455,41.375546,"Metro"
2.148801,41.37538,"Metro"
2.183562,41.430861,"Metro"
2.183464,41.431138,"Metro"
2.184196,41.428993,"Metro"
2.183628,41.430467,"Metro"
2.183584,41.430093,"Metro"
2.183324,41.430459,"Metro"
2.110681,41.368521,"Metro"
2.110396,41.367873,"Metro"
2.110875,41.368376,"Metro"
2.217787,41.451728,"Metro"
2.217064,41.451761,"Metro"
2.21861,41.451596,"Metro"
2.187098,41.402063,"Metro"
2.18834,41.402984,"Metro"
2.187238,41.402882,"Metro"
2.187513,41.402698,"Metro"
2.106694,41.344339,"Metro"
2.106409,41.34472,"Metro"
2.144523,41.375356,"Metro"
2.143445,41.375552,"Metro"
2.142362,41.375134,"Metro"
2.143991,41.375292,"Metro"
2.187227,41.421981,"Metro"
2.187272,41.423089,"Metro"
2.187198,41.422492,"Metro"
2.186428,41.39558,"Metro"
2.187072,41.395422,"Metro"
2.186842,41.395574,"Metro"
2.13319,41.373293,"Metro"
2.133647,41.372953,"Metro"
2.134546,41.374172,"Metro"
2.134031,41.373543,"Metro"
2.187294,41.416721,"Metro"
2.187229,41.415812,"Metro"
2.187086,41.416156,"Metro"
2.137493,41.37525,"Metro"
2.138801,41.375217,"Metro"
2.137301,41.37557,"Metro"
2.138845,41.375468,"Metro"
